DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,PEDRA BRANCA,Caatinga,6,0.1,1.0,-5.48604,-39.73949,11.1
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,PIQUET CARNEIRO,Caatinga,0,0.0,0.77,-5.85353,-39.35537,8.1
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,ALTO SANTO,Caatinga,0,6.41,0.07,-5.53426,-38.08508,136.1
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,INDEPENDÊNCIA,Caatinga,0,2.81,0.43,-5.55035,-40.54355,16.3
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,PIQUET CARNEIRO,Caatinga,7,0.07,0.98,-5.96212,-39.53709,10.7
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,ICÓ,Caatinga,0,0.0,0.42,-6.36226,-38.65899,7.7
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,ACOPIARA,Caatinga,5,0.48,0.85,-6.06538,-39.48725,34.5
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,MOMBAÇA,Caatinga,4,0.0,1.0,-5.60458,-39.79661,10.6
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.61,0.34,-3.14678,-41.12151,12.4
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.67,0.38,-3.14833,-41.13214,24.5
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.63,0.34,-3.14967,-41.12632,36.3
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.64,0.52,-3.15117,-41.13701,16.8
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,ACOPIARA,Caatinga,2,0.2,0.82,-6.088,-39.18472,12.2
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,MARTINÓPOLE,Caatinga,3,9.15,0.12,-3.17154,-40.62217,16.5
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,GRANJA,Caatinga,0,0.52,0.64,-3.18419,-41.23062,8.7
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,SANTANA DO ACARAÚ,Caatinga,1,0.63,1.0,-3.4325,-40.11682,7.4
2023/01/03 16:20:00,AQUA_M-T,Brasil,CEARÁ,TRAIRI,Caatinga,3,1.74,0.66,-3.46422,-39.37636,39.4
